?structure_inchikey	?wd_chem	?source_wdx	?sourceName
"FAMPSKZZVDUYOS-HRGUGZIWSA-N"	<http://www.wikidata.org/entity/Q1995108>	<http://www.wikidata.org/entity/Q161360>	"Chamaecyparis lawsoniana"^^<http://www.w3.org/2001/XMLSchema#string>
"FAMPSKZZVDUYOS-HRGUGZIWSA-N"	<http://www.wikidata.org/entity/Q1995108>	<http://www.wikidata.org/entity/Q18076816>	"Leplaea cedrata"^^<http://www.w3.org/2001/XMLSchema#string>
"FAMPSKZZVDUYOS-HRGUGZIWSA-N"	<http://www.wikidata.org/entity/Q1995108>	<http://www.wikidata.org/entity/Q234126>	"Aegle marmelos"^^<http://www.w3.org/2001/XMLSchema#string>
"FAMPSKZZVDUYOS-HRGUGZIWSA-N"	<http://www.wikidata.org/entity/Q1995108>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"FAMPSKZZVDUYOS-YRWGZVKJSA-N"	<http://www.wikidata.org/entity/Q104247137>	<http://www.wikidata.org/entity/Q161360>	"Chamaecyparis lawsoniana"^^<http://www.w3.org/2001/XMLSchema#string>
"FBSKJMQYURKNSU-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q104665494>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
"FBSKJMQYURKNSU-ZLSOWSIRSA-N"	<http://www.wikidata.org/entity/Q411426>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
"FBUPXHQDNXCVLC-AISPUCENSA-N"	<http://www.wikidata.org/entity/Q104992954>	<http://www.wikidata.org/entity/Q2385259>	"Pterocarpus marsupium"^^<http://www.w3.org/2001/XMLSchema#string>
"FCSRUSQUAVXUKK-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q103818890>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"FCSRUSQUAVXUKK-VNHYZAJKSA-N"	<http://www.wikidata.org/entity/Q27108609>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"FCSRUSQUAVXUKK-VNHYZAJKSA-N"	<http://www.wikidata.org/entity/Q27108609>	<http://www.wikidata.org/entity/Q161360>	"Chamaecyparis lawsoniana"^^<http://www.w3.org/2001/XMLSchema#string>
"FCSRUSQUAVXUKK-VNHYZAJKSA-N"	<http://www.wikidata.org/entity/Q27108609>	<http://www.wikidata.org/entity/Q18076816>	"Leplaea cedrata"^^<http://www.w3.org/2001/XMLSchema#string>
"FDPZGIYDJZEQNE-BDLOOMQFSA-N"	<http://www.wikidata.org/entity/Q104993695>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"FEHZXRNYETYZHE-NZZSDUTASA-N"	<http://www.wikidata.org/entity/Q104993977>	<http://www.wikidata.org/entity/Q15388741>	"Ceriops decandra"^^<http://www.w3.org/2001/XMLSchema#string>
"FELCJAPFJOPHSD-ROUWMTJPSA-N"	<http://www.wikidata.org/entity/Q76009748>	<http://www.wikidata.org/entity/Q15388741>	"Ceriops decandra"^^<http://www.w3.org/2001/XMLSchema#string>
"FERIUCNNQQJTOY-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q193213>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"FFCWRLFQIKDRNO-SNBOQGAASA-N"	<http://www.wikidata.org/entity/Q104994357>	<http://www.wikidata.org/entity/Q2065540>	"Taxus brevifolia"^^<http://www.w3.org/2001/XMLSchema#string>
"FHQSDRHZGCMBKG-FEHORTKBSA-N"	<http://www.wikidata.org/entity/Q104995413>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"FHQSDRHZGCMBKG-FIYPYCPBSA-N"	<http://www.wikidata.org/entity/Q104399319>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"FIAAVMJLAGNUKW-VQVVXJKKSA-N"	<http://www.wikidata.org/entity/Q72516285>	<http://www.wikidata.org/entity/Q1788810>	"Pistacia atlantica"^^<http://www.w3.org/2001/XMLSchema#string>
"FIDUIAPDSKSUGO-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q27137383>	<http://www.wikidata.org/entity/Q234126>	"Aegle marmelos"^^<http://www.w3.org/2001/XMLSchema#string>
"FJKROLUGYXJWQN-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q229970>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
"FJKROLUGYXJWQN-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q229970>	<http://www.wikidata.org/entity/Q3266951>	"Handroanthus impetiginosus"^^<http://www.w3.org/2001/XMLSchema#string>
"FLIACVVOZYBSBS-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q16676086>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
