InputTerm,BestMatch,URI,Comment
#0+,,,
#0,,,
#I,,,
#II,,,
#III,,,
"Rust life stage i-iii; (ii, iii)",rust life stages i-iii,,
"Rust life stage ii (iii); (ii, iii)",rust life stages ii-iii,,
"Rust life stage ii iii (ii, iii)",rust life stages ii-iii,,
"Rust life stage ii-iii; (ii, iii)",rust life stages ii-iii,,
"Rust life stage ii (iii); (ii, iii)",rust life stages ii-iii,,
"Rust life stage ii-iii; (ii, iii)",rust life stages ii-iii,,
"Rust life stage i ii Iii (ii, iii)",rust life stages i-iii,,
"Rust life stage II, III sp.",rust life stages ii-iii,,
"Rust life stage II, III sp.",rust life stages ii-iii,,
"Rust life stage iii, iv",rust life stages iii-iv,,
"Rust life stage III, leptospores",rust life stages iii,,
Rust life stage III (& some I),rust life stages i iii,,
Rust life stage III sp.,rust life stages iii,,
Rust life stage II sp.,rust life stages ii,,
"Rust life stage II, X",rust life stages ii x,,
"Rust life stage II, X, III",rust life stages ii iii x,,
"Rust life stage II, X, III",rust life stages ii iii x,,
"rust Life Stage Ist Life Stage II,III",rust life stages i-iii,,
"Rust Life Stage Iust Life Stage II,III",rust life stages i-iii,,
"Rust life stage macrocyclic, autoecious",rust life stages,,
"Rust life stage o, i",rust life stages 0-i,,
"Rust life stage O, I",rust life stages 0-i,,
"Rust life stage O,I",rust life stages 0-i,,
"Rust life stage O, III",rust life stages 0 iii,,
"Rust life stage O,I,(II)",rust life stages 0-ii,,
"Rust life stage O,I,II",rust life stages 0-ii,,
"Rust life stage O,I,(II)",rust life stages 0-ii,,
"Rust life stage O,I,II",rust life stages 0-ii,,
"Rust life stage O,I,III",rust life stages 0-iii,,
"Rust life stage O,I,III",rust life stages 0-iii,,
"Rust life stage (O,II),III",rust life stages 0 ii iii,,
"Rust life stage (O,II),III",rust life stages 0 ii iii,,
"Rust life stage o i (ii, iii)",rust life stages 0-iii,,
"Rust life stage (O,I), II, III",rust life stages 0-iii,,
"Rust life stage O,I,II,III",rust life stages 0-iii,,
"Rust life stage (O,I), II, III",rust life stages 0-iii,,
"Rust life stage O,I,II,III",rust life stages 0-iii,,
"Rust life stage (O,I), II, III",rust life stages 0-iii,,
"Rust life stage O,I,II,III",rust life stages 0-iii,,
"Rust life stage o iii (ii, iii)",rust life stages 0 ii iii,,
Rust life stages II & III,rust life stages ii iii,,
"rust Life Stage X, III",rust life stages iii x,,
"Rust life stage X, iii",rust life stages iii x,,
"Rust life stage X, III",rust life stages iii x,,
"Rut life stage 0, I, II, III",rust life stages 0-iii,,
"Rut life stage 0, I, II, III",rust life stages 0-iii,,
"Rut life stage 0, I, II, III",rust life stages 0-iii,,
"Rut life stage 0, I, II, III",rust life stages 0-iii,,
"Ruts life stage II, III",rust life stages ii iii,,
Rust life stage 0,rust life stage 0,,
Rust Life Stage 0,rust life stage 0,,
Rust lfie stage 0,rust life stage 0,,
rust lfie stage ii,rust life stage ii,,
rust life stage aecioid iii-iii,rust life stage aecioid iii,,
rust life stage aecioid iii,rust life stage aecioid iii,,
rust life stage aecioid-iii,rust life stage aecioid iii,,
rust life stage aecoid iii-iii,rust life stage aecioid iii,,
rust life stage an-iii,rust life stage iii,,
rust life stage an,rust life stage,,
rust life stage ib,rust life stage ib,,
rust life stage ihi,rust life stage ihi,,
rust life stage iib,rust life stage iib,,
rust life stage iii aecioid microcyclic,rust life stage iii,,
rust life stage iii endocyclic,rust life stage iii,,
rust life stage ii iia,rust life stage ii-iia,,
rust life stage i ii iii ii iii,rust life stage i-iii,,
rust life stage ii iii ii iii,rust life stage ii-iii,,
rust life stage i ii iii iii,rust life stage i-iii,,
rust life stage i iii ii iii,rust life stage i-iii,,
rust life stage i ii ii iii,rust life stage i-iii,,
rust life stage i ii iii ii,rust life stage i-iii,,
rust life stage ii iii iii,rust life stage ii-iii,,
rust life stage iii ii iii,rust life stage ii-iii,,
rust life stage i iii iii,rust life stage i iii,,
rust life stage ii ii iii,rust life stage ii-iii,,
rust life stage ii iii ii,rust life stage ii-iii,,
rust life stage i ii iii,rust life stage i-iii,,
rust life stage i iii ii,rust life stage i-iii,,
rust life stage i-ii-iii,rust life stage i-iii,,
rust life stage iii iii,rust life stage iii,,
rust life stage iii-iii,rust life stage iii,,
rust life stage ii iii iv,rust life stage ii-iv,,
rust life stage ii-iii-m,rust life stage ii-iii,,
rust life stage i ii ii,rust life stage i-ii,,
rust life stage ii  iii,rust life stage ii-iii,,
rust life stage ii iii,rust life stage ii-iii,,
rust life stage ii-iii,rust life stage ii-iii,,
rust life stage iii ii,rust life stage ii-iii,,
rust life stage ii iii x,rust life stage ii iii x,,
rust life stage i iii,rust life stage i iii,,
rust life stage i-iii,rust life stage i-iii,,
rust life stage ii ii,rust life stage ii,,
rust life stage ii-ii,rust life stage ii,,
rust life stage iii i,rust life stage i iii,,
rust life stage iiii,rust life stage iii,,
rust life stage iii iv,rust life stage iii-iv,,
rust life stage i iii x,rust life stage i iii x,,
rust life stage iii microcyclic,rust life stage iii,,
rust life stage ii imi,rust life stage ii imi,,
rust life stage iii-m,rust life stage iii-m,,
rust life stage iii sp,rust life stage iii,,
rust life stage i  ii,rust life stage i-ii,,
rust life stage i ii,rust life stage i-ii,,
rust life stage i-ii,rust life stage i-ii,,
rust life stage ii i,rust life stage i-ii,,
rust life stage iii,rust life stage iii,,
rust life stage ii iv,rust life stage ii iv,,
rust life stage iilife stage iii,rust life stage ii-iii,,
rust life stage ii only minute,rust life stage ii,,
rust life stage ii only,rust life stage ii,,
rust life stage ii sp,rust life stage ii,,
rust life stage ii,rust life stage ii,,
rust life stage ii  x iii,rust life stage ii iii x,,
rust life stage ii x iii,rust life stage ii iii x,,
rust life stage ii-x-iii,rust life stage ii iii x,,
rust life stage ii x,rust life stage ii x,,
rust life stage ii-x,rust life stage ii x,,
rust life stage ist life stage iii,rust life stage i iii,,
rust life stage ist life stage ii,rust life stage i-ii,,
rust life stage it life stage iii,rust life stage i iii,,
rust life stage it life stage ii,rust life stage ii,,
rust life stage i,rust life stage i,,
rust life stage iust life stage ii,rust life stage ii,,
rust life stage iv,rust life stage iv,,
rust life stage jj,rust life stage jj,,
rust life stage macrocyclic,rust life stage macrocyclic,,
rust life stage m-iii,rust life stage m-iii,,
rust life stage o i ii iii ii iii,rust life stage 0-iii,,
rust life stage o ii iii ii iii,rust life stage 0-iii,,
rust life stage o i ii iii iii,rust life stage 0-iii,,
rust life stage o i iii ii iii,rust life stage 0-iii,,
rust life stage o i ii ii iii,rust life stage 0-iii,,
rust life stage o iii ii iii,rust life stage 0 ii iii,,
rust life stage o ii ii iii,rust life stage 0 ii iii,,
rust life stage o  i ii iii,rust life stage 0-iii,,
rust life stage o i ii iii,rust life stage 0-iii,,
rust life stage o ii iii,rust life stage 0 ii iii,,
rust life stage o iii ii,rust life stage 0 ii iii,,
rust life stage o i iii,rust life stage 0 i iii,,
rust life stage o i ii,rust life stage 0 i ii,,
rust life stage o iii,rust life stage 0 iii,,
rust life stage o ii,rust life stage 0 ii,,
rust life stage o-ii,rust life stage 0-ii,,
rust life stage o i,rust life stage 0-i,,
rust life stage o-i,rust life stage 0-i,,
rust life stage only ii seen,rust life stage ii,,
rust life stage o,rust life stage 0,,
rust life stages ii,rust life stage ii,,
rust life stage telial stage,rust life telial,,
rust life stage telia,rust life stage telial,,
rust life stage,rust life stage,,
rust life stage uredinioispore,uredospore,http://purl.obolibrary.org/obo/FAO_0000026,
rust life stage urediniospore,uredospore,http://purl.obolibrary.org/obo/FAO_0000026,
rust life stage x iii,rust life stage iii x,,
rust life stage x ii,rust life stage ii x,,
rust life stage x,rust life stage x,,
rust life state iii,rust life stage iii,,
rust life state ii,rust life stage ii,,
rust life state i,rust life stage i,,
rust life tage i,rust life stage i,,
rust,rust,http://purl.obolibrary.org/obo/PSO_0000225,
ruts life stage ii,rust life stage ii,,
Reproductive Condition,reproductive condition,,
Reproductive Status,reproductive condition,,
non-reproductive,non-reproductive,,
not mature,immature,http://purl.obolibrary.org/obo/PATO_0001501,
sawdust mulch,sawdust,,
sawdust,sawdust,,
small,small,,
semi-adult,semi-adult,,
spermatium,spermatium,,
telia,telial,,
Telia,telial,,
telial,telial,,
telial stage,telial,,
strobilocercus,strobilocercus,,
sprouting,sprouting stage,,
sprouting stage,sprouting stage,,
sclerotium,sclerotium,http://purl.obolibrary.org/obo/FAO_0001008,
sclerotia,sclerotium,http://purl.obolibrary.org/obo/FAO_0001008,
sisal-rope boat fender,sisal-rope boat fender,,
soil near nest,soil near nest,,
sporangial sorus,sporangial sorus,,
sporont,sporont,,
sporodochium,sporodochium,,
standing tree,standing tree,,
tree,tree,,
stromatal strand,stromatal strand,,
stromatic strand,stromatic strand,,
Sexual stromata,sexual stromata,
Stromata,stromata,,
Spermagones.,spermagonium,,
spermagones,spermagonium,,
Spermagones.,spermagonium,,
"Stage III, Teleutospore.",teliospore,http://purl.obolibrary.org/obo/FAO_0000022,
Teleutospores.,teliospore,http://purl.obolibrary.org/obo/FAO_0000022,
Teleutospores only.,teliospore,http://purl.obolibrary.org/obo/FAO_0000022,
turf,peat soil,http://purl.obolibrary.org/obo/ENVO_00005774,
stubble,stubble,,
stump,stump,,
teliosorus,teliosorus,,
teleomorph,teleomorph,,
teneral,teneral,,
tricellula,tricellula,,
summer generation larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,
sorus,sorus,http://purl.obolibrary.org/obo/PO_0025359,
sori,sorus,http://purl.obolibrary.org/obo/PO_0025359,
Presumably immature stages,immature,http://purl.obolibrary.org/obo/PATO_0001501,
plasmodium,plasmodium,http://purl.obolibrary.org/obo/BTO_0000757,1.0000
nestling,nestling,http://purl.obolibrary.org/obo/UBERON_0007221,
neotenic_adult,neotenous growth,http://purl.obolibrary.org/obo/PATO_0001491,
naiad,larva,http://purl.obolibrary.org/obo/UBERON_0002548,
oospore,oospore,http://purl.obolibrary.org/obo/FAO_0000039,
mucus,mucus,http://purl.obolibrary.org/obo/UBERON_0000912,
abundant sporulation,sporulation,http://purl.obolibrary.org/obo/APO_0000041,
acarosporium coelomycetous anamorph,conidiation,http://purl.obolibrary.org/obo/APO_0000295,
acult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adlt,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
dult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
