origUnit,mapUnit
km,KiloM
kPa,KiloPA
m2 g-1,M2-PER-GM
m2/g,M2-PER-GM
m2/ha,M2-PER-HA
m-2 kg-1,M2-PER-KiloGM
m^2*kg^-1,M2-PER-KiloGM
m2 kg-1,M2-PER-KiloGM
m2kg-1,M2-PER-KiloGM
m2/kg leaf DM,M2-PER-KiloGM
m^2/kg,M2-PER-KiloGM
m2/kg,M2-PER-KiloGM
m2/Kg,M2-PER-KiloGM
m2 / kg,M2-PER-KiloGM
m2,M2
m2 m-2,M2-PER-M2
m2/m2,M2-PER-M2
m-2,PER-M2
m3,M3
m3 m-3,M3-PER-M3
m above sea,M
m a.s.l.,M
m asl,M
m. (a.s.l.),M
m.a.s.l,M
m.a.s.l.,M
masl,M
meter,M
Meter,M
m,M
meters above ground,M
mg/cm2,MilliGM-PER-CentiM2
mg/cm3,MilliGM-PER-CentiM3
mg g-1,MilliGM-PER-GM
mg_g-1,MilliGM-PER-GM
mgg-1,MilliGM-PER-GM
(mg g-1),MilliGM-PER-GM
mg/g dry mass,MilliGM-PER-GM
mg/g DW,MilliGM-PER-GM
mg / g,MilliGM-PER-GM
mg/g,MilliGM-PER-GM
mg kg1,MilliGM-PER-KiloGM
mg kg-1,MilliGM-PER-KiloGM
mg Kg-1,MilliGM-PER-KiloGM
mg/kg,MilliGM-PER-KiloGM
mg/kg soil,MilliGM-PER-KiloGM
(mg),MilliGM
mg,MilliGM
mg N g-1Leaf,MilliGM-PER-GM
mg N g-1,MilliGM-PER-GM
mgN gDM-1,MilliGM-PER-GM
mgN/kgH2O,MilliGM-PER-KiloGM
mgP2O5 kg-1,MilliGM-PER-KiloGM
mg per kg soil,MilliGM-PER-KiloGM
mg per seed,MilliGM
mgP gDM-1,MilliGM-PER-GM
mg/seed,MilliGM
micro g-C g-1,MicroGM-PER-GM
micro g dw g-1 soil,MicroGM-PER-GM
micro g g-1,MicroGM-PER-GM
microg/g,MicroGM-PER-GM
micro g-N g-1,MicroGM-PER-GM
micro g(P)/g(DM),MicroGM-PER-GM
micromoles/m2/s,MicroMOL-PER-M2-SEC
micro mol m2 s1,MicroMOL-PER-M2-SEC
micro mol m-2 s-1,MicroMOL-PER-M2-SEC
micro mol m2 s-1,MicroMOL-PER-M2-SEC
micro mol/m2/s1,MicroMOL-PER-M2-SEC
micromol m-2 s-1,MicroMOL-PER-M2-SEC
micromolm-2s-1,MicroMOL-PER-M2-SEC
micromol/m2/s1 PAR,MicroMOL-PER-M2-SEC
"m,icromol/m2/s",MicroMOL-PER-M2-SEC
micro mol m2 s,MicroMOL-PER-M2-SEC
micro mol/m2/s,MicroMOL-PER-M2-SEC
micromol/m2/s,MicroMOL-PER-M2-SEC
micro mol / m2 / s,MicroMOL-PER-M2-SEC
