sourceWD	sourceName	intxnName	targetWD	targetName	loc
<http://www.wikidata.org/entity/Q10632723>	"Plagiognathus verticalis"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"NE of Springville on Bear Creek Rd near Scicon"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10632723>	"Plagiognathus verticalis"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"NW of Springville on Balch Park Drive"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10632723>	"Plagiognathus verticalis"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"W of Mariposa on Old Toll Rd"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10682003>	"Strophopoda aprica"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"NE of Springville on Bear Creek Rd near Scicon"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q107463845>	"Bombyliidae"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"~50m up dirt road Tunnel Trail; Mission Canyon"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q107619436>	"Elymus glaucus subsp. glaucus"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"1.5 miles from end of Tunnel Road."^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q108375383>	"Sirosperma floridana"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q234126>	"Aegle marmelos"^^<http://www.w3.org/2001/XMLSchema#string>	"Homestead, Dade Co."^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q108375383>	"Sirosperma floridana"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q234126>	"Aegle marmelos"^^<http://www.w3.org/2001/XMLSchema#string>	"Homestead, Dade Co. Subtropical Experiment Station"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q108459302>	"Uredo brachylaenae"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q4953462>	"Brachylaena discolor"^^<http://www.w3.org/2001/XMLSchema#string>	"Eastern Cape, S of East London"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10890646>	"Avena fatua var. glabrata"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"100 yds W of Camino Del Sur on Madrid Rd; Isla Vista, Goleta."^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q129544>	"Dugong dugon"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002470>	<http://www.wikidata.org/entity/Q312094>	"Avicennia marina"^^<http://www.w3.org/2001/XMLSchema#string>	"Papua New Guinea|"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q146677>	"Calystegia peirsonii"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"SW Region, Western Transverse Ranges, Liebre Mountains, Sierra Pelona, Rush Canyon, along dirt road to Rowher ORV Area, Angeles NF, Waypoint 400; Green Valley, Calif. topo quad.; NE1/4NW1/4 S19, T5N R14W San Bernardino Base Meridian.; 34.50882°N, 119.38967°W [Note: The coordinates provided on the sheet did not match with the locality described, and may have been a typo. The longitude (-118.389670) appears to match with the locality described, instead of 119.38967]"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q146677>	"Calystegia peirsonii"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q848784>	"Centaurea melitensis"^^<http://www.w3.org/2001/XMLSchema#string>	"SW Region, Western Transverse Ranges, Liebre Mountains, Sierra Pelona, Rush Canyon, along dirt road to Rowher ORV Area, Angeles NF, Waypoint 400; Green Valley, Calif. topo quad.; NE1/4NW1/4 S19, T5N R14W San Bernardino Base Meridian.; 34.50882°N, 119.38967°W [Note: The coordinates provided on the sheet did not match with the locality described, and may have been a typo. The longitude (-118.389670) appears to match with the locality described, instead of 119.38967]"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q15389017>	"Allophyllum glutinosum"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"300 yards north on the ridge at the north end of Seahorn Dr; Sunset Mesa, Malibu."^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q15389135>	"Allophyllum integrifolium"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"San Guillermo Mountain, Pine Springs Creek S side of Pine Springs Campground."^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q15393668>	"Navarretia peninsularis"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"San Guillermo Mountain, Pine Springs Creek S side of Pine Springs Campground."^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q15490404>	"Acmispon glaber"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"El Capitán State Beach, eastern edge of park south of Hwy 101 on bluff top"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q15519895>	"Acmispon argophyllus"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5389476>	"Eriophyllum confertiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"Along Whittaker Peak Road/FS Road 6N53B, Waypoint 394A."^^<http://www.w3.org/2001/XMLSchema#string>
